Categorie / Subcategorie RO,Category / Subcategory EN,Tip,Categorie părinte RO,Parent category EN,Descriere scurtă RO,Short description EN,Descriere SEO RO,SEO description EN,Meta title RO,Meta description RO,Meta title EN,Meta description EN
Tiroliene,Zip lines,Subcategorie,Parcuri de aventură,Adventure parks,"Experiențe relevante din categoria Parcuri de aventură, ușor de rezervat online.","Relevant experiences in Adventure parks, easy to book online.","Experiențe relevante din categoria Parcuri de aventură, ușor de rezervat online. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria tiroliene și compară rapid activitățile disponibile.","Relevant experiences in Adventure parks, easy to book online. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book zip lines online and compare available experiences quickly.",Tiroliene | Bilete și rezervări online,"Rezervă tiroliene pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",Zip lines | Tickets & online bookings,"Book zip lines on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
Panouri de escaladă,Climbing walls,Subcategorie,Parcuri de aventură,Adventure parks,"Experiențe relevante din categoria Parcuri de aventură, ușor de rezervat online.","Relevant experiences in Adventure parks, easy to book online.","Experiențe relevante din categoria Parcuri de aventură, ușor de rezervat online. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria panouri de escaladă și compară rapid activitățile disponibile.","Relevant experiences in Adventure parks, easy to book online. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book climbing walls online and compare available experiences quickly.",Panouri de escaladă | Bilete și rezervări online,"Rezervă panouri de escaladă pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",Climbing walls | Tickets & online bookings,"Book climbing walls on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
Aventură pentru copii,Adventure for children,Subcategorie,Parcuri de aventură,Adventure parks,"Experiențe sigure și atractive pentru copii, cu activități adaptate vârstei.","Safe, engaging experiences for children, with age-appropriate activities.","Experiențe sigure și atractive pentru copii, cu activități adaptate vârstei. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria aventură pentru copii și compară rapid activitățile disponibile.","Safe, engaging experiences for children, with age-appropriate activities. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book adventure for children online and compare available experiences quickly.",Aventură pentru copii | Bilete și rezervări online,"Rezervă aventură pentru copii pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",Adventure for children | Tickets & online bookings,"Book adventure for children on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
Aventură pentru adolescenți,Adventure for teenagers,Subcategorie,Parcuri de aventură,Adventure parks,"Tururi ghidate pentru a descoperi locuri, povești și experiențe locale.","Guided tours for discovering places, stories and local experiences.","Tururi ghidate pentru a descoperi locuri, povești și experiențe locale. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria aventură pentru adolescenți și compară rapid activitățile disponibile.","Guided tours for discovering places, stories and local experiences. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book adventure for teenagers online and compare available experiences quickly.",Aventură pentru adolescenți | Bilete și rezervări online,"Rezervă aventură pentru adolescenți pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",Adventure for teenagers | Tickets & online bookings,"Book adventure for teenagers on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
Aventură pentru adulți,Adventure for adults,Subcategorie,Parcuri de aventură,Adventure parks,"Tururi ghidate pentru a descoperi locuri, povești și experiențe locale.","Guided tours for discovering places, stories and local experiences.","Tururi ghidate pentru a descoperi locuri, povești și experiențe locale. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria aventură pentru adulți și compară rapid activitățile disponibile.","Guided tours for discovering places, stories and local experiences. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book adventure for adults online and compare available experiences quickly.",Aventură pentru adulți | Bilete și rezervări online,"Rezervă aventură pentru adulți pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",Adventure for adults | Tickets & online bookings,"Book adventure for adults on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
Pachete de grup,Group packages,Subcategorie,Parcuri de aventură,Adventure parks,"Experiențe organizate pentru grupuri, echipe, clase sau evenimente speciale.","Organized experiences for groups, teams, classes or special events.","Experiențe organizate pentru grupuri, echipe, clase sau evenimente speciale. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria pachete de grup și compară rapid activitățile disponibile.","Organized experiences for groups, teams, classes or special events. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book group packages online and compare available experiences quickly.",Pachete de grup | Bilete și rezervări online,"Rezervă pachete de grup pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",Group packages | Tickets & online bookings,"Book group packages on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
Team building outdoor,Outdoor team building,Subcategorie,Parcuri de aventură,Adventure parks,"Experiențe organizate pentru grupuri, echipe, clase sau evenimente speciale.","Organized experiences for groups, teams, classes or special events.","Experiențe organizate pentru grupuri, echipe, clase sau evenimente speciale. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria team building outdoor și compară rapid activitățile disponibile.","Organized experiences for groups, teams, classes or special events. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book outdoor team building online and compare available experiences quickly.",Team building outdoor | Bilete și rezervări online,"Rezervă team building outdoor pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",Outdoor team building | Tickets & online bookings,"Book outdoor team building on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
Natură & outdoor,Nature & outdoor,Categorie principală,,,"Experiențe în natură, trasee, tururi ghidate și activități în aer liber.","Nature experiences, trails, guided tours and outdoor activities.","Descoperă rezervații naturale, trasee, peșteri, canioane și experiențe eco. Alege activități potrivite pentru familie, copii, cupluri, prieteni, turiști, școli, echipe sau grupuri, cu rezervare simplă și experiențe ușor de comparat online.","Discover nature reserves, trails, caves, canyons and eco experiences. Choose activities for families, children, couples, friends, tourists, schools, teams or groups, with simple booking and experiences that are easy to compare online.",Natură & outdoor | Bilete și rezervări online,"Descoperă natură & outdoor pe bilete.online: activități, experiențe și bilete pentru familie, copii, prieteni, școli, turiști și grupuri.",Nature & outdoor | Tickets & online bookings,"Discover nature & outdoor on bilete.online: activities, experiences and tickets for families, children, friends, schools, tourists and groups."
Rezervații naturale,Nature reserves,Subcategorie,Natură & outdoor,Nature & outdoor,"Experiențe în aer liber, cu peisaje, explorare și conexiune cu natura.","Outdoor experiences with landscapes, exploration and connection to nature.","Experiențe în aer liber, cu peisaje, explorare și conexiune cu natura. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria rezervații naturale și compară rapid activitățile disponibile.","Outdoor experiences with landscapes, exploration and connection to nature. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book nature reserves online and compare available experiences quickly.",Rezervații naturale | Bilete și rezervări online,"Rezervă rezervații naturale pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",Nature reserves | Tickets & online bookings,"Book nature reserves on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
Tururi ghidate în natură,Guided nature tours,Subcategorie,Natură & outdoor,Nature & outdoor,"Experiențe în aer liber, cu peisaje, explorare și conexiune cu natura.","Outdoor experiences with landscapes, exploration and connection to nature.","Experiențe în aer liber, cu peisaje, explorare și conexiune cu natura. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria tururi ghidate în natură și compară rapid activitățile disponibile.","Outdoor experiences with landscapes, exploration and connection to nature. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book guided nature tours online and compare available experiences quickly.",Tururi ghidate în natură | Bilete și rezervări online,"Rezervă tururi ghidate în natură pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",Guided nature tours | Tickets & online bookings,"Book guided nature tours on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
Peșteri,Caves,Subcategorie,Natură & outdoor,Nature & outdoor,"Experiențe în aer liber, cu peisaje, explorare și conexiune cu natura.","Outdoor experiences with landscapes, exploration and connection to nature.","Experiențe în aer liber, cu peisaje, explorare și conexiune cu natura. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria peșteri și compară rapid activitățile disponibile.","Outdoor experiences with landscapes, exploration and connection to nature. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book caves online and compare available experiences quickly.",Peșteri | Bilete și rezervări online,"Rezervă peșteri pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",Caves | Tickets & online bookings,"Book caves on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
Chei / canioane / trasee spectaculoase,Gorges / canyons / scenic trails,Subcategorie,Natură & outdoor,Nature & outdoor,"Experiențe în aer liber, cu peisaje, explorare și conexiune cu natura.","Outdoor experiences with landscapes, exploration and connection to nature.","Experiențe în aer liber, cu peisaje, explorare și conexiune cu natura. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria chei / canioane / trasee spectaculoase și compară rapid activitățile disponibile.","Outdoor experiences with landscapes, exploration and connection to nature. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book gorges / canyons / scenic trails online and compare available experiences quickly.",Chei / canioane / trasee spectaculoase | Bilete online,"Rezervă chei / canioane / trasee spectaculoase pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau…",Gorges / canyons / scenic trails | Tickets & online bookings,"Book gorges / canyons / scenic trails on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
Observatoare animale,Wildlife observation points,Subcategorie,Natură & outdoor,Nature & outdoor,"Experiențe relevante din categoria Natură & outdoor, ușor de rezervat online.","Relevant experiences in Nature & outdoor, easy to book online.","Experiențe relevante din categoria Natură & outdoor, ușor de rezervat online. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria observatoare animale și compară rapid activitățile disponibile.","Relevant experiences in Nature & outdoor, easy to book online. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book wildlife observation points online and compare available experiences quickly.",Observatoare animale | Bilete și rezervări online,"Rezervă observatoare animale pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",Wildlife observation points | Tickets & online bookings,"Book wildlife observation points on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
Grădini botanice,Botanical gardens,Subcategorie,Natură & outdoor,Nature & outdoor,"Experiențe în aer liber, cu peisaje, explorare și conexiune cu natura.","Outdoor experiences with landscapes, exploration and connection to nature.","Experiențe în aer liber, cu peisaje, explorare și conexiune cu natura. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria grădini botanice și compară rapid activitățile disponibile.","Outdoor experiences with landscapes, exploration and connection to nature. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book botanical gardens online and compare available experiences quickly.",Grădini botanice | Bilete și rezervări online,"Rezervă grădini botanice pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",Botanical gardens | Tickets & online bookings,"Book botanical gardens on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
Parcuri naturale,Natural parks,Subcategorie,Natură & outdoor,Nature & outdoor,"Experiențe de divertisment, joacă și distracție pentru copii și adulți.","Entertainment, play and fun experiences for children and adults.","Experiențe de divertisment, joacă și distracție pentru copii și adulți. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria parcuri naturale și compară rapid activitățile disponibile.","Entertainment, play and fun experiences for children and adults. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book natural parks online and compare available experiences quickly.",Parcuri naturale | Bilete și rezervări online,"Rezervă parcuri naturale pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",Natural parks | Tickets & online bookings,"Book natural parks on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
Activități montane ușoare,Easy mountain activities,Subcategorie,Natură & outdoor,Nature & outdoor,"Experiențe în aer liber, cu peisaje, explorare și conexiune cu natura.","Outdoor experiences with landscapes, exploration and connection to nature.","Experiențe în aer liber, cu peisaje, explorare și conexiune cu natura. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria activități montane ușoare și compară rapid activitățile disponibile.","Outdoor experiences with landscapes, exploration and connection to nature. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book easy mountain activities online and compare available experiences quickly.",Activități montane ușoare | Bilete și rezervări online,"Rezervă activități montane ușoare pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",Easy mountain activities | Tickets & online bookings,"Book easy mountain activities on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
Experiențe eco / educație de mediu,Eco experiences / environmental education,Subcategorie,Natură & outdoor,Nature & outdoor,"Experiențe în aer liber, cu peisaje, explorare și conexiune cu natura.","Outdoor experiences with landscapes, exploration and connection to nature.","Experiențe în aer liber, cu peisaje, explorare și conexiune cu natura. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria experiențe eco / educație de mediu și compară rapid activitățile disponibile.","Outdoor experiences with landscapes, exploration and connection to nature. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book eco experiences / environmental education online and compare available experiences quickly.",Experiențe eco / educație de mediu | Bilete și rezervări online,"Rezervă experiențe eco / educație de mediu pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",Eco experiences / environmental education | Online tickets,"Book eco experiences / environmental education on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
"Acvarii, zoo & animale","Aquariums, zoos & animals",Categorie principală,,,"Experiențe cu animale, acvarii, zoo, ferme educative și observatoare.","Animal experiences, aquariums, zoos, educational farms and observatories.","Descoperă acvarii, zoo, ferme educative, sanctuare și experiențe cu animale. Alege activități potrivite pentru familie, copii, cupluri, prieteni, turiști, școli, echipe sau grupuri, cu rezervare simplă și experiențe ușor de comparat online.","Discover aquariums, zoos, educational farms, sanctuaries and animal experiences. Choose activities for families, children, couples, friends, tourists, schools, teams or groups, with simple booking and experiences that are easy to compare online.","Acvarii, zoo & animale | Bilete și rezervări online","Descoperă acvarii, zoo & animale pe bilete.online: activități, experiențe și bilete pentru familie, copii, prieteni, școli, turiști și grupuri.","Aquariums, zoos & animals | Tickets & online bookings","Discover aquariums, zoos & animals on bilete.online: activities, experiences and tickets for families, children, friends, schools, tourists and groups."
Acvarii,Aquariums,Subcategorie,"Acvarii, zoo & animale","Aquariums, zoos & animals","Experiențe relevante din categoria Acvarii, zoo & animale, ușor de rezervat online.","Relevant experiences in Aquariums, zoos & animals, easy to book online.","Experiențe relevante din categoria Acvarii, zoo & animale, ușor de rezervat online. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria acvarii și compară rapid activitățile disponibile.","Relevant experiences in Aquariums, zoos & animals, easy to book online. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book aquariums online and compare available experiences quickly.",Acvarii | Bilete și rezervări online,"Rezervă acvarii pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",Aquariums | Tickets & online bookings,"Book aquariums on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
Grădini zoologice,Zoos,Subcategorie,"Acvarii, zoo & animale","Aquariums, zoos & animals","Experiențe relevante din categoria Acvarii, zoo & animale, ușor de rezervat online.","Relevant experiences in Aquariums, zoos & animals, easy to book online.","Experiențe relevante din categoria Acvarii, zoo & animale, ușor de rezervat online. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria grădini zoologice și compară rapid activitățile disponibile.","Relevant experiences in Aquariums, zoos & animals, easy to book online. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book zoos online and compare available experiences quickly.",Grădini zoologice | Bilete și rezervări online,"Rezervă grădini zoologice pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",Zoos | Tickets & online bookings,"Book zoos on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
Ferme educative,Educational farms,Subcategorie,"Acvarii, zoo & animale","Aquariums, zoos & animals","Experiențe relevante din categoria Acvarii, zoo & animale, ușor de rezervat online.","Relevant experiences in Aquariums, zoos & animals, easy to book online.","Experiențe relevante din categoria Acvarii, zoo & animale, ușor de rezervat online. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria ferme educative și compară rapid activitățile disponibile.","Relevant experiences in Aquariums, zoos & animals, easy to book online. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book educational farms online and compare available experiences quickly.",Ferme educative | Bilete și rezervări online,"Rezervă ferme educative pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",Educational farms | Tickets & online bookings,"Book educational farms on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
Sanctuare / rezervații de animale,Animal sanctuaries / reserves,Subcategorie,"Acvarii, zoo & animale","Aquariums, zoos & animals","Experiențe relevante din categoria Acvarii, zoo & animale, ușor de rezervat online.","Relevant experiences in Aquariums, zoos & animals, easy to book online.","Experiențe relevante din categoria Acvarii, zoo & animale, ușor de rezervat online. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria sanctuare / rezervații de animale și compară rapid activitățile disponibile.","Relevant experiences in Aquariums, zoos & animals, easy to book online. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book animal sanctuaries / reserves online and compare available experiences quickly.",Sanctuare / rezervații de animale | Bilete și rezervări online,"Rezervă sanctuare / rezervații de animale pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",Animal sanctuaries / reserves | Tickets & online bookings,"Book animal sanctuaries / reserves on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
Observatoare faună,Wildlife observatories,Subcategorie,"Acvarii, zoo & animale","Aquariums, zoos & animals","Experiențe relevante din categoria Acvarii, zoo & animale, ușor de rezervat online.","Relevant experiences in Aquariums, zoos & animals, easy to book online.","Experiențe relevante din categoria Acvarii, zoo & animale, ușor de rezervat online. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria observatoare faună și compară rapid activitățile disponibile.","Relevant experiences in Aquariums, zoos & animals, easy to book online. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book wildlife observatories online and compare available experiences quickly.",Observatoare faună | Bilete și rezervări online,"Rezervă observatoare faună pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",Wildlife observatories | Tickets & online bookings,"Book wildlife observatories on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
Experiențe cu animale pentru copii,Animal experiences for children,Subcategorie,"Acvarii, zoo & animale","Aquariums, zoos & animals","Experiențe sigure și atractive pentru copii, cu activități adaptate vârstei.","Safe, engaging experiences for children, with age-appropriate activities.","Experiențe sigure și atractive pentru copii, cu activități adaptate vârstei. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria experiențe cu animale pentru copii și compară rapid activitățile disponibile.","Safe, engaging experiences for children, with age-appropriate activities. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book animal experiences for children online and compare available experiences quickly.",Experiențe cu animale pentru copii | Bilete și rezervări online,"Rezervă experiențe cu animale pentru copii pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",Animal experiences for children | Tickets & online bookings,"Book animal experiences for children on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
Ateliere & experiențe creative,Workshops & creative experiences,Categorie principală,,,"Ateliere practice de artă, craft, știință, ceramică și creație.","Hands-on art, craft, science, ceramics and creative workshops.","Descoperă ateliere de artă, pictură, ceramică, craft, știință și creație. Alege activități potrivite pentru familie, copii, cupluri, prieteni, turiști, școli, echipe sau grupuri, cu rezervare simplă și experiențe ușor de comparat online.","Discover art, painting, ceramics, craft, science and creative workshops. Choose activities for families, children, couples, friends, tourists, schools, teams or groups, with simple booking and experiences that are easy to compare online.",Ateliere & experiențe creative | Bilete și rezervări online,"Descoperă ateliere & experiențe creative pe bilete.online: activități, experiențe și bilete pentru familie, copii, prieteni, școli, turiști și grupuri.",Workshops & creative experiences | Tickets & online bookings,"Discover workshops & creative experiences on bilete.online: activities, experiences and tickets for families, children, friends, schools, tourists and groups."
Ateliere pentru copii,Workshops for children,Subcategorie,Ateliere & experiențe creative,Workshops & creative experiences,"Experiențe sigure și atractive pentru copii, cu activități adaptate vârstei.","Safe, engaging experiences for children, with age-appropriate activities.","Experiențe sigure și atractive pentru copii, cu activități adaptate vârstei. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria ateliere pentru copii și compară rapid activitățile disponibile.","Safe, engaging experiences for children, with age-appropriate activities. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book workshops for children online and compare available experiences quickly.",Ateliere pentru copii | Bilete și rezervări online,"Rezervă ateliere pentru copii pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",Workshops for children | Tickets & online bookings,"Book workshops for children on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
Ateliere pentru adulți,Workshops for adults,Subcategorie,Ateliere & experiențe creative,Workshops & creative experiences,"Ateliere practice în care creezi, experimentezi și înveți prin activitate directă.","Hands-on workshops where you create, experiment and learn by doing.","Ateliere practice în care creezi, experimentezi și înveți prin activitate directă. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria ateliere pentru adulți și compară rapid activitățile disponibile.","Hands-on workshops where you create, experiment and learn by doing. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book workshops for adults online and compare available experiences quickly.",Ateliere pentru adulți | Bilete și rezervări online,"Rezervă ateliere pentru adulți pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",Workshops for adults | Tickets & online bookings,"Book workshops for adults on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
Ateliere de pictură,Painting workshops,Subcategorie,Ateliere & experiențe creative,Workshops & creative experiences,"Ateliere practice în care creezi, experimentezi și înveți prin activitate directă.","Hands-on workshops where you create, experiment and learn by doing.","Ateliere practice în care creezi, experimentezi și înveți prin activitate directă. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria ateliere de pictură și compară rapid activitățile disponibile.","Hands-on workshops where you create, experiment and learn by doing. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book painting workshops online and compare available experiences quickly.",Ateliere de pictură | Bilete și rezervări online,"Rezervă ateliere de pictură pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",Painting workshops | Tickets & online bookings,"Book painting workshops on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
Ateliere de ceramică,Ceramics workshops,Subcategorie,Ateliere & experiențe creative,Workshops & creative experiences,"Ateliere practice în care creezi, experimentezi și înveți prin activitate directă.","Hands-on workshops where you create, experiment and learn by doing.","Ateliere practice în care creezi, experimentezi și înveți prin activitate directă. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria ateliere de ceramică și compară rapid activitățile disponibile.","Hands-on workshops where you create, experiment and learn by doing. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book ceramics workshops online and compare available experiences quickly.",Ateliere de ceramică | Bilete și rezervări online,"Rezervă ateliere de ceramică pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",Ceramics workshops | Tickets & online bookings,"Book ceramics workshops on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
Ateliere DIY / craft,DIY / craft workshops,Subcategorie,Ateliere & experiențe creative,Workshops & creative experiences,"Ateliere practice în care creezi, experimentezi și înveți prin activitate directă.","Hands-on workshops where you create, experiment and learn by doing.","Ateliere practice în care creezi, experimentezi și înveți prin activitate directă. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria ateliere diy / craft și compară rapid activitățile disponibile.","Hands-on workshops where you create, experiment and learn by doing. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book diy / craft workshops online and compare available experiences quickly.",Ateliere DIY / craft | Bilete și rezervări online,"Rezervă ateliere diy / craft pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",DIY / craft workshops | Tickets & online bookings,"Book diy / craft workshops on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
Ateliere educative,Educational workshops,Subcategorie,Ateliere & experiențe creative,Workshops & creative experiences,"Ateliere practice în care creezi, experimentezi și înveți prin activitate directă.","Hands-on workshops where you create, experiment and learn by doing.","Ateliere practice în care creezi, experimentezi și înveți prin activitate directă. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria ateliere educative și compară rapid activitățile disponibile.","Hands-on workshops where you create, experiment and learn by doing. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book educational workshops online and compare available experiences quickly.",Ateliere educative | Bilete și rezervări online,"Rezervă ateliere educative pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",Educational workshops | Tickets & online bookings,"Book educational workshops on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
